vol_id,layer_id,z,r,FTF_layer_id
2,2,-3473.4949913950572,328.7745799524143,1
2,4,-3448.4451736402193,328.6185004039892,1
8,2,-2621.0205853657,109.87951920291059,72
8,4,-2357.043132493559,103.51371487751652,72
8,6,-2120.0588090109018,98.62803935496314,72
8,8,-1909.1178983627892,97.32549228599197,72
8,10,-1845.8403071453447,74.1235366507291,71
8,12,-1721.0627289088236,97.6604167321974,72
8,14,-1665.0555287236753,70.98722653430289,71
8,16,-1552.9663264446576,96.20310135627024,72
8,18,-1503.0447614397322,68.59497832777083,71
8,20,-1402.955060283669,97.23805646515926,72
8,22,-1359.0849388766,68.48947609164843,71
8,24,-1271.911638661209,97.96105608606672,72
8,26,-1229.0292492385315,68.31612657218957,71
8,28,-1141.9292170966864,85.8131571475666,72
8,30,-1103.1384510360922,67.71296756677927,71
8,32,-1026.0324394230809,83.60707054915372,72
8,34,-925.0632636833847,81.8971089277577,72
8,36,-835.0689711782665,80.24733963432054,72
8,38,-749.06734674266,79.27648196990805,72
8,40,-675.1208572399767,79.09043482645015,72
8,42,-604.1331304392772,79.35622046102117,72
8,44,-543.1064686243169,78.13775350770179,72
8,46,-486.11091322437716,76.40501752750666,72
8,48,-437.09691366376524,72.56572489248038,1
8,50,-396.0288554275076,70.68638973529133,1
8,52,-357.02292420227536,68.82757565467111,1
8,54,-322.00233266655687,67.70439095383905,1
8,56,-291.0592699329789,67.61023993371515,1
8,58,-263.06761079246036,67.2779040497638,1
9,2,2.7654016864181674,34.44298257170067,80
9,4,-9.00278222091861,99.56100432531687,81
10,2,263.12206401608285,65.14803544443245,1
10,4,291.0543364252699,65.7514415170135,1
10,6,322.0491065292972,67.68340959700853,1
10,8,357.0557479290722,69.17184026248576,1
10,10,396.0500707526474,70.49028351152518,1
10,12,437.0879004726137,71.90484977023573,1
10,14,486.12451088631065,73.97899109410592,92
10,16,543.1201863853505,75.12636127830676,92
10,18,604.1221104035751,75.2407319303508,92
10,20,675.0842469740561,76.16617863411224,92
10,22,749.0646447922809,76.41692378913778,92
10,24,835.05349128338,75.91322544280962,92
10,26,925.0426776815352,77.61822560750845,91
10,28,1026.0718153761156,81.76366452005657,92
10,30,1103.22232088731,67.52670626477982,91
10,32,1142.0587797075789,85.60180419322113,92
10,34,1229.2382248704955,68.58420517620968,91
10,36,1272.0674981619643,97.63157722484212,92
10,38,1359.3629451679485,68.76153839907431,91
10,40,1403.1109390956983,96.47804984790923,92
10,42,1503.242424788638,68.74817536381022,91
10,44,1553.136722353374,95.97850972746711,92
10,46,1665.0786329870427,70.53883621767613,91
10,48,1721.1076487765101,97.31141418872936,92
10,50,1845.706782152205,73.8079800960286,91
10,52,1909.0904299945462,98.39753799564139,92
10,54,2120.0833159185677,99.43854152764169,92
10,56,2357.0437160091506,103.80329063011102,92
10,58,2621.022491907879,109.85754608839498,92
13,2,-2850.1568047337278,171.93067106541247,74
13,4,-2592.6374120406567,171.53435931992783,74
13,6,-2360.668629182612,173.61190700014814,74
13,8,-2150.714086211712,175.22856594317452,74
13,10,-1960.807564145285,172.90999184370312,74
13,12,-1789.132326751839,174.09670741112734,74
13,14,-1632.535694970254,175.80846160762127,74
13,16,-1491.4447394623298,174.75954142022667,74
13,18,-1364.226010661928,171.98553587939304,74
13,20,-1248.7020111938004,173.15318708035133,74
13,22,-1145.50199044586,172.65814569973736,74
13,24,-1039.52599170953,167.1498289043798,73
13,26,-852.1207364583254,166.50630828058706,73
13,28,-700.9514750615677,167.57137627243657,73
13,30,-580.2170058422935,167.19009178961724,73
13,32,-483.5820287019425,166.7482045245141,73
13,34,-406.2380521991074,165.6885484834815,73
14,2,-2849.65636975961,235.30335642604257,76
14,4,-2490.5005311238583,232.65641236072244,76
14,6,-2180.004897959184,235.50525974205647,76
14,8,-1910.4475954785632,233.22546886662533,76
14,10,-1675.9859198276524,232.1683365624752,76
14,12,-1473.4572376818994,233.30023849205213,76
14,14,-1297.3110643185298,233.11776635536998,76
14,16,-1145.080782122905,232.52352469059957,76
14,18,-1036.7327149645369,234.18238169465894,75
14,20,-902.019354034464,234.76826524328555,75
14,22,-785.5340658327133,234.52641408454033,75
14,24,-685.661630021815,233.43313359712823,75
14,26,-598.4432957614416,233.52169720751152,75
14,28,-522.8326809148531,233.87967553876962,75
14,30,-457.50037515136347,234.5684968415862,75
14,32,-401.36618269583556,234.75603318063673,75
15,2,-2849.6550185873607,294.6750026919301,78
15,4,-2532.218953267287,294.02134830186014,78
15,6,-2251.8769383697813,292.81508573336197,78
15,8,-2006.9731066460588,293.3453465817263,78
15,10,-1789.241822290948,293.5443397359475,78
15,12,-1597.0187574830384,293.9489762534697,77
15,14,-1427.12,292.2363535307351,78
15,16,-1276.9187401574802,293.1830148346049,78
15,18,-1145.0326273166174,293.47809113390065,77
15,20,-1036.193838584619,296.1459111597609,77
15,22,-922.2696302730202,296.29246642534866,77
15,24,-819.3078106804348,298.48314021949324,77
15,26,-729.6721991505711,295.6624459479158,77
15,28,-647.7241787247459,296.2533908628908,77
15,30,-573.9927999256704,297.47633223659585,77
15,32,-508.8502824145863,297.305229694479,77
15,34,-450.99048470347583,296.167583470078,77
15,36,-397.88135788436364,297.0839478874418,77
16,2,-22.232282163910128,160.30346786166837,82
16,4,-25.14497987093405,228.2061410180568,83
16,6,-26.821726567052853,291.125897843473,84
18,2,405.5803945277051,166.290960960258,93
18,4,483.63596776977727,166.11108573493942,93
18,6,579.9562399465066,167.86569863731683,93
18,8,701.746491645391,166.3574655909542,93
18,10,851.8037748420334,167.46660475512635,93
18,12,1040.2447158932187,166.25679440015355,93
18,14,1145.552256362729,172.40636765439942,94
18,16,1248.949200952057,173.10402969841553,94
18,18,1364.657812053699,173.9940079318507,94
18,20,1491.1666666666667,173.6115882512463,94
18,22,1632.026710402999,173.19216289490515,94
18,24,1788.7259920975778,173.6418164102226,94
18,26,1961.5824056475699,173.19531005077064,94
18,28,2151.3500922061535,174.17355606997126,94
18,30,2361.080794139505,173.08271553873647,94
18,32,2592.973783460583,171.3207138779122,94
18,34,2850.350555866592,172.27240686471504,94
19,2,400.99765388960634,234.72688481215036,95
19,4,458.22161967726583,233.0268581004917,95
19,6,523.066016784771,233.355619774333,95
19,8,598.4730795831221,233.4460081488032,95
19,10,685.7084023152295,233.29523854255362,95
19,12,785.2662905789999,234.81186933458935,95
19,14,901.7075598160985,235.17845848134988,95
19,16,1036.5992700800816,234.49123734996934,95
19,18,1144.9090525723925,233.493015418022,96
19,20,1297.6279793987303,232.683654439269,96
19,22,1473.666293164918,232.46526304494535,96
19,24,1676.3292077050467,232.74930490486238,96
19,26,1910.5843051986558,234.51086763920563,96
19,28,2178.865631067961,233.0670495819026,96
19,30,2491.3504662762957,233.9473036525453,96
19,32,2850.3149383983573,234.86203369454898,96
20,2,398.7434277449381,296.33377675697557,97
20,4,451.3320339975633,295.8870977504211,97
20,6,509.33330789356927,296.2404547935971,97
20,8,573.6949510873341,297.6036175101653,97
20,10,647.8065757739171,296.4810087744971,97
20,12,729.5224878292272,296.3988347001168,97
20,14,819.6717536632831,297.5272283230158,97
20,16,922.5680348410535,296.39535942273494,97
20,18,1036.1365711733197,296.59428662713606,97
20,20,1145.2758830694274,293.5821612427634,98
20,22,1276.661689730517,293.19588705618594,98
20,24,1426.5881906208467,294.36144879818517,98
20,26,1596.9615185504745,292.8532827003372,98
20,28,1789.7555066079294,293.49723178589045,98
20,30,2007.0620954207625,293.1769095954601,98
20,32,2253.141370128298,294.54649349897323,98
20,34,2531.7273128401234,293.9616696255378,98
20,36,2849.0249291784703,293.8041825923992,98
22,2,-2850.3945568625372,603.7258347431999,1
22,4,-2532.3973786291504,604.1081025604576,1
22,6,-2237.275780476174,605.0075644846802,1
22,8,-1952.2363309846985,601.3700965071665,1
22,10,-1702.1570667043668,586.8679651489462,1
22,12,-1512.1187629590277,579.9063644553218,1
23,2,-58.6508953632447,399.6644210780609,1
23,4,-84.06446337050052,562.6130861318264,1
23,6,-85.78571000691993,762.2761469829096,1
23,8,-97.38793039942618,1000.1880417926882,1
24,2,1512.0011308674157,573.3682510128855,1
24,4,1701.975968505714,582.6919051670557,1
24,6,1951.9787895638856,601.3413126531327,1
24,8,2236.98098130986,610.6378871719581,1
24,10,2531.922127398407,610.9685804692575,1
24,12,2849.7593902948,604.4535662351518,1